Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
42594530,Serotonin,Michel Houellebecq,"Houellebecq, Michel",,"=""""","=""""",3,3.58,DUMONT Buchverlag,Kindle Edition,330,2019,2019,2020/01/17,2019/10/14,,,read,provocative? yeah.<br/>good? subjective. <br/>fun to read? eh. <br/>hotel? trivago.,,,1,0
2893941,Is-slottet,Tarjei Vesaas,"Vesaas, Tarjei",,"=""8205367086""","=""9788205367081""",5,3.87,Gyldendal,Paperback,156,2007,1963,2020/01/01,2020/01/05,,,read,hei hva om du blir med meg hjem og vi tar av av oss alle klærne haha neida bare tulla<br/><br/>men det hadde vori moro da ,true,,1,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",5,3.99,Simon & Schuster ,Paperback,453,2004,1961,2019/12/01,2019/08/22,,,read,"its a slice of life comedy war novel, sprinkled with copious amounts of sexism.<br/><br/>what more could you ask for?",,,1,0
41960502,Dyrene i Afrika,Erlend Loe,"Loe, Erlend",,"=""8202598893""","=""9788202598891""",0,3.61,Cappelen Damm,Hardcover,332,2018,,,2019/10/14,to-read,to-read (#1),to-read,,,,0,0
36275478,Tante Ulrikkes vei,Zeshan Shakar,"Shakar, Zeshan",,"=""""","=""9788205509351""",4,4.25,Gyldendal,ebook,432,2017,2017,,2019/10/14,,,read,"damn, innvandrere",,,1,0
2000663,Pakkis,Khalid Hussain,"Hussain, Khalid",,"=""8210029010""","=""9788210029011""",5,3.29,Tiden,Hardcover,134,1986,1986,,2019/09/03,,,read,haha imagine being pakkis,true,,1,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""""","=""""",5,3.86,Bantam Classics,Paperback,201,1972,1915,,2019/08/22,,,read,hah the czech dude wrote some deep cool stuff,,,1,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",5,4.44,Bantam,Mass Market Paperback,835,2005,1996,,2019/08/22,,,read,"yes, but i got bored of the second",,,1,0
33652490,Men Without Women,Haruki Murakami,"Murakami, Haruki","Phillip Gabriel, Ted Goossen","=""0385689454""","=""9780385689458""",5,3.76,Bond Street Books,Kindle Edition,242,2017,2014,,2019/08/22,,,read,i like short stories :D,,,1,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",4,3.99,HarperPerennial / Perennial Classics,Paperback,268,1998,1932,,2019/08/22,,,read,good,,,1,0
